Date/Time,Word Count,de,en,es,fr,it,pl,pt
2018.04.13-13.31.42,100,0,100,0,0,0,0,0
2018.04.13-16.26.42,103,0,103,0,1,0,0,0
2018.04.13-16.53.33,101,0,101,0,1,0,0,0
2018.04.14-10.04.28,104,0,104,0,1,0,0,0
2018.04.20-09.48.17,126,0,126,0,1,0,0,0
2018.04.29-22.05.32,191,0,191,0,1,0,0,0
2018.05.05-16.28.40,191,0,191,0,1,0,0,191
2018.05.05-18.23.39,191,64,191,95,55,2,0,191
2018.05.05-18.47.30,191,64,191,95,106,116,0,191
2018.05.05-19.00.09,191,66,191,123,120,116,0,191
2018.05.06-00.05.16,171,58,171,114,111,107,0,136
2018.05.06-00.10.41,215,58,215,114,111,107,0,136
2018.05.06-15.39.48,215,137,215,149,147,144,0,170
2018.05.06-20.13.02,232,136,232,148,146,143,0,169
2018.05.06-23.24.02,232,136,225,146,144,141,0,167
2018.05.07-22.27.34,235,130,228,140,138,135,138,161
2018.05.07-22.36.05,235,130,228,140,138,135,168,161
2018.05.08-21.16.41,235,194,228,192,192,192,188,206
